id,name
0,Adventure
1,Exploration
2,Fantasy
3,Fighting
4,Miniatures
5,Environmental
6,Medical
7,Card Game
8,Civilization
9,Economic
10,Modern Warfare
11,Political
12,Wargame
13,Industry / Manufacturing
14,Science Fiction
15,Territory Building
16,Movies / TV / Radio theme
17,Ancient
18,City Building
19,American West
20,Dice
21,Medieval
22,Novel-based
23,Animals
24,Farming
25,Mythology
26,Collectible Components
27,Horror
28,Murder/Mystery
29,Puzzle
30,Video Game Theme
31,Nautical
32,Religious
33,Travel
34,Space Exploration
35,Transportation
36,Bluffing
37,Mature / Adult
38,Deduction
39,Party Game
40,Spies/Secret Agents
41,Word Game
42,Renaissance
43,Negotiation
44,Prehistoric
45,Arabian
46,Abstract Strategy
47,Zombies
48,Aviation / Flight
49,Post-Napoleonic
50,Trains
51,Action / Dexterity
52,World War I
53,Real-time
54,World War II
55,Comic Book / Strip
56,Humor
57,Racing
58,Electronic
59,Civil War
60,Book
61,none
62,Expansion for Base-game
63,Sports
64,Memory
65,Age of Reason
66,Pirates
67,Print & Play
68,Maze
69,American Indian Wars
70,American Revolutionary War
71,Educational
72,Napoleonic
73,American Civil War
74,"Action / Dexterity' "" Children's Game"" ' Party Game"
75,Vietnam War
76,Pike and Shot
77,Mafia
78,Trivia
79,Number
80,"Animals' "" Children's Game"" ' Party Game"
81,"Aviation / Flight' "" Children's Game""
 ' Electronic"
82,"Card Game' "" Children's Game"" ' Novel-based"
83,"Animals' "" Children's Game"
84,"Action / Dexterity' "" Children's Game"
85,Game System
86,"Card Game' "" Children's Game"" ' Educational"
87,"Children's Game"" ' Fantasy"
88,"Card Game' "" Children's Game"" ' Real-time"
89,"Animals' "" Children's Game"" ' Humor"
90,"Animals' "" Children's Game"" ' Maze"
91,"Children's Game"" ' Educational"
92,Korean War
93,"Children's Game"" ' Medieval"
94,"Action / Dexterity' "" Children's Game"" ' Puzzle"
95,"Card Game' "" Children's Game"" ' Racing"
96,"Animals' "" Children's Game"" ' Memory"
97,"Card Game' "" Children's Game"" ' Negotiation"
98,"Adventure' "" Children's Game"" ' Fantasy"
99,"Children's Game"" ' Maze"
100,"Children's Game"" ' Dice"
101,"Children's Game"" ' Deduction"
102,"Card Game' "" Children's Game"" ' Party Game"
103,"Animals' "" Children's Game"" ' Dice"
104,"Action / Dexterity' "" Children's Game"" ' Dice"
105,"Action / Dexterity' "" Children's Game"" ' Fantasy"
106,"Children's Game"" ' Memory"
107,"Card Game' "" Children's Game"" ' Deduction"
108,Math
109,Music
110,"Children's Game"" ' Racing"
111,"Animals' "" Children's Game"" ' Fighting"
112,"Children's Game"" ' Trains"
113,"Bluffing' "" Children's Game"" ' Dice"
114,"Animals' "" Children's Game"" ' Deduction"
115,"Bluffing' "" Children's Game"" ' Horror"
116,"Adventure' "" Children's Game"" ' Racing"
117,"Animals' "" Children's Game"" ' Racing"
118,"Card Game' "" Children's Game"" ' Memory"
119,"Action / Dexterity' "" Children's Game"" ' Electronic"
120,"Action / Dexterity' "" Children's Game"" ' Nautical"
121,Children's Game
122,"Children's Game"" ' Party Game"
123,"Card Game' "" Children's Game"
124,"Children's Game"" ' Puzzle"
125,"Action / Dexterity' "" Children's Game"" ' Medieval"
126,"Children's Game"" ' Horror"
127,"Card Game' "" Children's Game""
 ' Party Game"
128,"Card Game' "" Children's Game"" ' Farming"
129,"Bluffing' "" Children's Game"" ' Racing"
130,"Card Game' "" Children's Game"" ' Music"
131,"Action / Dexterity' "" Children's Game"" ' Real-time"
132,"Action / Dexterity' "" Children's Game"" ' Racing"
133,"Animals' "" Children's Game"" ' Nautical"
134,"Children's Game"" ' Negotiation"
135,"Adventure' "" Children's Game"
136,"Bluffing' "" Children's Game"
137,"Card Game' "" Children's Game"" ' Pirates"
138,"Animals' "" Children's Game"" ' Puzzle"
139,"Adventure' "" Children's Game"" ' Exploration"
140,"Abstract Strategy' "" Children's Game"" ' Educational"
141,"Arabian' "" Children's Game"" ' Real-time"
142,"Abstract Strategy' "" Children's Game"" ' Memory"
143,"Children's Game"" ' Nautical"
144,"Card Game' "" Children's Game"" ' Humor"
145,"Action / Dexterity' "" Children's Game"" ' Memory"
146,"Abstract Strategy' "" Children's Game"" ' Maze"
147,"Card Game' "" Children's Game""
 ' Real-time"
