game_id,category_id
174430,0
174430,1
174430,2
174430,3
174430,4
161936,5
161936,6
182028,7
182028,8
182028,9
12333,10
12333,11
12333,12
167791,9
167791,5
167791,13
167791,14
167791,15
187645,3
187645,4
187645,16
187645,14
187645,12
120677,8
120677,9
120677,2
120677,15
169786,8
169786,9
169786,3
169786,4
169786,14
169786,15
173346,17
173346,7
173346,18
173346,8
193738,19
84876,20
84876,21
84876,15
115746,0
115746,20
115746,2
115746,3
115746,4
115746,22
115746,15
115746,12
102794,23
102794,9
102794,2
102794,24
3076,18
3076,9
3076,24
31260,23
31260,9
31260,24
96848,0
96848,1
96848,2
96848,3
170216,2
170216,3
170216,4
170216,25
205637,0
205637,7
205637,26
205637,2
205637,27
205637,22
205059,0
205059,1
205059,2
205059,3
205059,27
205059,4
205059,28
205059,29
25613,8
25613,9
209010,2
209010,3
209010,4
209010,30
183394,9
183394,24
164153,0
164153,3
164153,4
164153,16
164153,14
164153,12
124361,17
124361,9
124361,31
164928,21
164928,32
164928,33
2651,9
2651,13
72125,8
72125,3
72125,14
72125,34
72125,12
175914,9
175914,13
177736,9
177736,13
177736,21
177736,29
121921,0
121921,1
121921,3
121921,22
28720,9
28720,13
28720,35
126163,17
126163,8
126163,9
126163,24
126163,25
35677,18
35677,9
35677,13
35677,31
124742,36
124742,7
124742,26
124742,14
55690,0
55690,2
55690,27
55690,37
55690,4
55690,25
171623,20
171623,9
171623,21
171623,33
180263,0
180263,7
180263,1
180263,27
180263,14
178900,7
178900,38
178900,39
178900,40
178900,41
122515,18
122515,9
122515,31
122515,42
122515,15
68448,17
68448,7
68448,18
68448,8
146508,0
146508,37
146508,14
18602,18
18602,9
18602,21
146021,0
146021,2
146021,3
146021,27
146021,22
12493,8
12493,43
12493,11
12493,14
12493,34
12493,12
28143,7
28143,8
28143,9
28143,14
28143,34
110327,18
110327,2
62219,23
62219,5
62219,44
157354,45
157354,2
157354,25
93,42
163412,46
163412,29
132531,8
132531,20
132531,9
132531,14
132531,34
159675,9
159675,24
159675,13
40834,7
40834,21
201808,0
201808,2
150376,36
150376,38
150376,27
150376,47
103885,48
103885,36
103885,26
103885,4
103885,16
103885,14
103885,12
37111,36
37111,38
37111,16
37111,11
37111,14
37111,34
37111,40
221107,5
221107,1
221107,6
2511,38
2511,28
2511,22
2511,49
2511,40
172386,9
144733,13
144733,50
102680,17
102680,11
73439,20
73439,9
73439,21
36218,7
36218,21
42,46
42,17
42,8
42,15
30549,6
220308,8
220308,9
220308,14
220308,15
194655,46
194655,17
194655,25
125153,9
521,51
104162,0
104162,1
104162,2
104162,3
104162,4
127023,17
127023,3
127023,4
127023,25
155426,49
9609,0
9609,20
9609,2
9609,4
9609,22
9609,15
9609,12
34635,20
34635,44
161970,38
161970,2
216132,9
128882,36
128882,7
128882,38
128882,2
128882,21
128882,43
128882,39
128882,40
103343,36
103343,2
103343,43
103343,22
103343,11
103343,12
175155,36
175155,3
175155,4
175155,14
175155,12
155068,0
155068,2
155068,3
155068,4
146652,7
146652,3
146652,27
146652,16
146652,14
147020,7
147020,3
147020,14
70149,18
70149,9
70149,13
70149,21
70149,32
70149,15
123260,18
123260,9
126042,7
126042,8
126042,9
14996,50
14996,33
43111,2
43111,3
43111,27
43111,25
43111,12
14105,17
14105,12
148949,9
17133,50
17133,35
17133,30
91,12
91,52
185343,9
185343,14
171131,38
171131,3
171131,31
171131,53
198928,6
39463,36
39463,43
39463,14
39463,34
21050,12
21050,54
9216,9
9216,24
9216,31
9216,42
77423,0
77423,7
77423,26
77423,2
77423,22
54043,23
54043,7
146886,9
146886,24
43015,42
27833,9
27833,50
27833,35
176189,0
176189,2
176189,3
176189,27
176189,21
176189,4
176189,47
4098,9
4098,50
4098,35
230802,46
104006,24
104006,21
148228,7
148228,9
148228,42
555,18
555,42
31627,50
31627,35
31627,33
128621,9
128621,24
215,7
188,46
196340,9
10630,4
10630,12
10630,54
182874,9
129437,7
129437,55
233078,8
233078,9
233078,43
233078,11
233078,14
233078,34
233078,12
9209,50
9209,33
172287,0
172287,20
172287,2
172287,3
172287,21
172287,25
154203,17
154203,7
154203,18
154203,8
20551,9
20551,21
20551,15
31481,56
31481,53
31481,14
31481,34
31481,35
146439,20
146439,2
146439,4
146439,12
101721,7
101721,2
101721,3
234,17
234,11
234,12
155821,17
155821,7
155821,4
155821,25
54998,17
54998,18
54998,8
54998,3
54998,4
54998,25
54998,31
7854,46
140620,19
140620,57
22545,8
22545,1
22545,42
22545,30
97207,23
97207,2
97207,56
12,17
12,25
93260,7
93260,2
93260,3
24181,9
24181,31
24181,11
59294,0
59294,2
59294,3
59294,12
822,18
822,21
822,15
38453,58
38453,53
38453,14
38453,34
193037,36
193037,38
193037,27
193037,37
193037,14
193037,47
25021,59
25021,42
25021,12
181304,38
181304,28
181304,39
19857,17
19857,7
19857,18
19857,9
127060,20
118048,45
