game_id,family_id
174430,0
174430,1
174430,2
174430,3
161936,0
161936,2
161936,4
182028,5
12333,6
12333,7
167791,8
167791,3
167791,5
187645,9
187645,10
187645,11
120677,12
169786,13
169786,1
169786,14
169786,3
169786,5
173346,15
173346,16
173346,5
193738,17
84876,18
84876,19
115746,20
115746,21
115746,22
102794,23
102794,24
102794,25
102794,3
3076,18
3076,26
3076,27
3076,28
3076,5
31260,29
31260,30
31260,31
31260,32
31260,23
31260,24
31260,3
31260,5
96848,33
96848,9
96848,34
96848,3
170216,9
170216,1
170216,35
205637,36
205637,0
205637,37
205637,38
205637,3
205059,36
205059,37
25613,5
209010,0
209010,9
183394,3
183394,39
183394,40
164153,0
164153,10
164153,11
164153,41
124361,42
124361,43
164928,44
164928,19
164928,45
2651,46
2651,7
2651,47
72125,48
72125,49
175914,50
177736,51
177736,52
177736,3
177736,35
121921,53
121921,3
28720,54
28720,55
126163,56
126163,57
126163,58
35677,19
35677,24
35677,59
35677,3
124742,60
124742,61
124742,62
124742,63
124742,64
124742,38
55690,0
55690,1
55690,65
55690,3
171623,66
171623,67
171623,68
171623,69
180263,70
180263,1
180263,3
178900,71
122515,26
122515,1
122515,72
122515,73
122515,74
68448,15
68448,5
146508,75
146508,76
18602,77
18602,19
18602,78
146021,36
146021,37
146021,79
146021,3
12493,48
12493,9
12493,10
12493,80
28143,81
28143,5
110327,82
110327,83
62219,48
62219,84
157354,66
157354,85
93,86
93,87
163412,88
163412,89
163412,52
132531,90
132531,81
132531,5
159675,51
159675,46
159675,90
159675,24
159675,3
40834,90
40834,91
201808,92
150376,93
103885,94
103885,11
103885,95
37111,96
221107,0
221107,2
221107,4
2511,97
2511,98
2511,55
2511,99
2511,3
172386,51
172386,26
172386,100
144733,51
144733,6
102680,42
102680,74
73439,101
73439,19
36218,90
36218,91
36218,102
42,103
42,104
42,105
42,106
42,107
42,108
30549,4
220308,3
220308,12
194655,109
194655,110
194655,111
194655,1
194655,112
194655,113
125153,114
125153,1
125153,115
125153,3
125153,116
521,51
521,117
521,118
104162,0
104162,9
104162,119
104162,20
104162,120
127023,121
127023,103
127023,20
155426,46
155426,90
155426,102
9609,21
9609,22
34635,122
161970,123
216132,124
216132,1
128882,1
128882,125
128882,126
128882,127
103343,128
103343,129
175155,9
175155,10
175155,130
175155,131
155068,132
155068,133
155068,0
155068,1
146652,134
146652,135
146652,3
147020,1
147020,136
70149,137
70149,19
70149,138
70149,24
70149,3
70149,5
70149,40
123260,102
123260,3
123260,139
126042,140
126042,3
126042,5
14996,141
43111,142
14105,42
14105,143
14105,144
14105,111
148949,145
148949,146
17133,147
17133,7
17133,148
91,123
185343,1
185343,3
185343,76
171131,123
198928,149
198928,86
198928,4
39463,150
21050,151
9216,26
9216,152
9216,149
77423,62
77423,38
77423,153
77423,3
77423,21
54043,66
54043,154
54043,152
146886,51
146886,86
146886,155
146886,3
146886,5
43015,46
27833,147
27833,156
176189,1
176189,157
4098,147
230802,123
104006,158
148228,159
555,18
555,160
555,161
555,52
31627,162
31627,163
31627,164
31627,165
31627,141
128621,1
128621,39
128621,40
215,154
215,166
215,167
215,168
215,169
215,170
188,171
188,88
188,172
196340,173
196340,1
10630,174
182874,175
129437,176
129437,135
129437,3
129437,177
233078,123
9209,7
9209,141
172287,35
154203,42
154203,121
154203,173
154203,3
154203,5
20551,154
20551,173
20551,178
31481,123
146439,179
146439,180
146439,143
146439,20
146439,120
101721,181
234,42
234,100
234,182
155821,138
54998,111
54998,183
54998,184
7854,88
7854,185
7854,102
140620,3
140620,5
22545,186
22545,26
22545,187
97207,188
97207,20
12,18
12,121
12,189
93260,190
24181,191
59294,48
59294,10
59294,120
822,192
822,19
38453,193
38453,3
193037,93
25021,154
25021,194
25021,173
181304,195
181304,196
19857,42
19857,197
19857,1
19857,5
127060,18
127060,198
127060,199
127060,58
118048,100
118048,103
118048,200
172818,201
172818,1
192291,123
48726,134
48726,1
48726,202
176494,124
27708,7
27708,203
108745,204
155873,205
155873,206
155873,163
155873,46
155873,111
155873,138
155873,161
155873,57
155873,164
155873,207
155873,149
155873,208
155873,6
155873,86
155873,165
155873,209
155873,210
155873,211
155873,7
155873,47
463,62
463,102
82222,1
82222,212
181279,213
92828,214
66589,26
66589,149
66589,191
17392,215
17392,55
17392,19
17392,216
17392,161
17392,86
17392,209
421,217
421,7
54138,191
41114,218
41114,126
41114,127
77130,48
77130,219
3,154
3,173
3,104
3,178
119890,29
119890,30
119890,31
119890,32
119890,23
119890,89
760,220
156129,1
163745,9
163745,11
163745,221
45315,188
1,46
1,222
40692,223
59959,224
59959,98
59959,211
195421,225
195421,201
195421,1
163068,1
163068,115
36932,123
176920,8
176920,226
224037,71
182631,136
15985,227
15985,0
15985,228
15985,229
15985,142
39856,214
160477,110
160477,88
160477,230
198773,71
37046,154
37046,231
37046,195
37046,3
123123,232
123123,1
