id,name,picture,description,player_min_age,players_min_amount,players_max_amount,duration,release_year,rating
174430,Gloomhaven,https://cf.geekdo-images.com/images/pic2437871.jpg,https://boardgamegeek.com/boardgame/174430/gloomhaven,12,1,4,150,2017,8.767719999999999
161936,Pandemic Legacy: Season 1,https://cf.geekdo-images.com/images/pic2452831.png,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,13,2,4,60,2015,8.582059999999998
182028,Through the Ages: A New Story of Civilization,https://cf.geekdo-images.com/images/pic2663291.jpg,https://boardgamegeek.com/boardgame/182028/through-ages-new-story-civilization,14,2,4,240,2015,8.490515
12333,Twilight Struggle,https://cf.geekdo-images.com/images/pic361592.jpg,https://boardgamegeek.com/boardgame/12333/twilight-struggle,13,2,2,180,2005,8.280999999999999
167791,Terraforming Mars,https://cf.geekdo-images.com/images/pic3536616.jpg,https://boardgamegeek.com/boardgame/167791/terraforming-mars,12,1,5,120,2016,8.278295
187645,Star Wars: Rebellion,https://cf.geekdo-images.com/images/pic2737530.png,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,14,2,4,240,2016,8.334975
120677,Terra Mystica,https://cf.geekdo-images.com/images/pic1356616.jpg,https://boardgamegeek.com/boardgame/120677/terra-mystica,12,2,5,150,2012,8.192875
169786,Scythe,https://cf.geekdo-images.com/images/pic3163924.jpg,https://boardgamegeek.com/boardgame/169786/scythe,14,1,5,115,2016,8.195030000000001
173346,7 Wonders Duel,https://cf.geekdo-images.com/images/pic3376065.jpg,https://boardgamegeek.com/boardgame/173346/7-wonders-duel,10,2,2,30,2015,8.082089999999999
193738,Great Western Trail,https://cf.geekdo-images.com/images/pic3113247.jpg,https://boardgamegeek.com/boardgame/193738/great-western-trail,12,2,4,150,2016,8.142365
84876,The Castles of Burgundy,https://cf.geekdo-images.com/images/pic1176894.jpg,https://boardgamegeek.com/boardgame/84876/castles-burgundy,12,2,4,90,2011,8.056825
115746,War of the Ring (Second Edition),https://cf.geekdo-images.com/images/pic1215633.jpg,https://boardgamegeek.com/boardgame/115746/war-ring-second-edition,13,2,4,180,2012,8.1868
102794,Caverna: The Cave Farmers,https://cf.geekdo-images.com/images/pic1790789.jpg,https://boardgamegeek.com/boardgame/102794/caverna-cave-farmers,12,1,7,210,2013,8.05597
3076,Puerto Rico,https://cf.geekdo-images.com/images/pic158548.jpg,https://boardgamegeek.com/boardgame/3076/puerto-rico,12,2,5,150,2002,8.01622
