id,name
0,Action / Movement Programming
1,Co-operative Play
2,Grid Movement
3,Hand Management
4,Modular Board
5,Role Playing
6,Simultaneous Action Selection
7,Storytelling
8,Variable Player Powers
9,Action Point Allowance System
10,Point to Point Movement
11,Set Collection
12,Trading
13,Auction/Bidding
14,Card Drafting
15,Area Control / Area Influence
16,Campaign / Battle Card Driven
17,Dice Rolling
18,Tile Placement
19,Area Movement
20,Route/Network Building
21,Variable Phase Order
22,Deck / Pool Building
23,Worker Placement
24,Area Enclosure
25,Memory
26,Partnerships
27,Player Elimination
28,Pattern Building
29,Press Your Luck
30,Secret Unit Deployment
31,Pattern Recognition
32,Pick-up and Deliver
33,Time Track
34,Area-Impulse
35,Hex-and-Counter
36,Voting
37,Take That
38,Stock Holding
39,Commodity Speculation
40,Line Drawing
41,Simulation
42,Betting/Wagering
43,Trick-taking
44,Roll / Spin and Move
45,Rock-Paper-Scissors
46,Paper-and-Pencil
47,Acting
48,Singing
49,none
50,Chit-Pull System
51,Crayon Rail System
